name,prediction,confidence,critic_score,critic_grade,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,key_concern,would_rerun_help
a katrise perera,same,high,18,CONFIRMED,pass,pass,weak,weak,pass,pass,pass,pass,pass,pass,"Minor evidence tier classification error (district bio misclassified as Tier 2 instead of Tier 3) and lack of explicit search phase documentation, but overall reasoning is sound with strong direct transition evidence.",False
a katrise perera,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exceptionally strong case with definitive evidence from multiple independent sources.,False
a katrise perera,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exemplary disambiguation with strong evidence and sound reasoning,False
aaron spence,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor methodological gap in documenting the search phases, but overall very strong evidence supporting the conclusion.",False
aaron spence,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exemplary disambiguation with strong evidence and sound reasoning.,False
abbe boring,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is solid overall with strong corroborating evidence, but could be improved by explicitly documenting the systematic 4-phase search strategy.",False
adolfo melara,same,high,7,SUSPECT,pass,weak,fail,fail,fail,weak,weak,weak,fail,weak,"The high confidence 'same' prediction is based on insufficient evidence quality and quantity. Only one clear Tier 1 source (Style Magazine) supports the connection, while other evidence is lower-tier or tangential. The search strategy appears incomplete and confidence is overcalibrated.",True
albert roberts,same,high,8,SUSPECT,pass,weak,fail,pass,weak,fail,pass,fail,fail,fail,No direct evidence connects the Clarkston superintendent to the Oak Park position - reasoning relies entirely on timeline coincidence and name similarity without verification of full name or career transition.,True
alexandra estrella,same,high,8,SUSPECT,pass,weak,fail,weak,fail,fail,pass,pass,fail,fail,The reasoning relies entirely on Norwalk Public Schools' claim about their new superintendent's background without any independent verification from NYC District 4 sources or third parties. This is a classic case of accepting hiring announcement claims at face value rather than verifying the person was actually in the claimed role at the other district.,True
amy jackson,same,high,3,SUSPECT,pass,fail,fail,fail,fail,fail,weak,fail,fail,fail,"The reasoning appears to contain fabricated evidence and major factual contradictions. It claims Amy Jackson was hired in 2023 but the original record shows 2007, 2022-2024. It introduces 'William G. Jackson' which wasn't in the original record. The timeline is impossible (serving at both districts simultaneously in 2024) and the evidence doesn't support the conclusions.",True
amy kruppe,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is solid with strong evidence, but search strategy documentation could be more explicit about the phases attempted.",False
andre spencer,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,None - this is a well-documented case with multiple independent Tier 1 sources directly confirming the transition between districts.,False
andrea perez,same,high,6,SUSPECT,pass,weak,pass,fail,fail,fail,weak,fail,fail,fail,The reasoning claims strong evidence of career progression but the actual sources don't appear to document the transition from Woodville to BASIS Texas. High confidence is claimed without the required Tier 1-2 evidence showing this specific career move.,True
